"loop","Wzgórza Krzesławickie","50.09468867001616, 20.065187215805057",,,
"path","Wzgórza Krzesławickie","Jarzębiny","5","1,4,5","50.09468867001616, 20.065187215805057; 50.091759961497175, 20.06050944328308"
"stop","Jarzębiny","50.091759961497175, 20.06050944328308",,,
"path","Jarzębiny","Darwina","5","1,4,5"," 50.091759961497175, 20.06050944328308; 50.09104410422565, 20.05938291549683; 50.09080662998019, 20.05909323692322"
"stop","Darwina","50.09080662998019, 20.05909323692322",,,
"path","Darwina","Wiadukty","5","1,4,5","50.09081007164435, 20.059109330177307; 50.08945059507735, 20.05779504776001; 50.088359544216885, 20.0567489862442"
"stop","Wiadukty","50.088345776854915, 20.0567489862442",,,
"path","Wiadukty","Jwiadukty","5","1,4,5","50.088359544216885, 20.05675435066223; 50.087829497926045, 20.056244730949405"
"junction","Jwiadukty","50.087829497926045, 20.056244730949405",,,
"path","Jwiadukty","Wańkowicza","5","1,5","50.08783982355911, 20.056223273277286; 50.08694836904213, 20.047473907470707"
"stop","Wańkowicza","50.086955252924334, 20.047473907470707",,,
"path","Wańkowicza","Cienista","5","1,5","50.086955252924334, 20.047484636306766; 50.0864010972444, 20.04190564155579; 50.08576088456914, 20.03938436508179; 50.0851963888797, 20.03815054893494"
"stop","Cienista","50.08519294681241, 20.03815054893494",,,
"path","Cienista","Teatr Ludowy","5","1,5","50.08517917854083, 20.03814518451691; 50.082132851214695, 20.032474994659427"
"stop","Teatr Ludowy","50.082132851214695, 20.032474994659427",,,
"path","Teatr Ludowy","Rondo Kocmyrzowskie","5","1,5","50.0821362935017, 20.03245353698731; 50.08030151947189, 20.029041767120365; 50.079943506595285, 20.0279313325882; 50.07962680066814, 20.027346611022953"
"stop","Rondo Kocmyrzowskie","50.07961991573343, 20.027330517768863",,,
"path","Rondo Kocmyrzowskie","Bieńczycka","5","1,5,9,14,52","50.07964057053456, 20.027330517768863; 50.079310092648754, 20.026772618293766; 50.07886256688051, 20.026322007179264; 50.078711095674244, 20.026112794876102; 50.07587092194774, 20.020850300788883"
"stop","Bieńczycka","50.075881250156975, 20.02088248729706",,,
"path","Bieńczycka","Rondo Czyżyńskie","5","1,5,9,14,52","50.075891578364, 20.020893216133118; 50.07451446446665, 20.018339753150943; 50.073953279211, 20.017744302749637; 50.07345405981334, 20.01745998859406"
"stop","Rondo Czyżyńskie","50.07345405981334, 20.01744389533997",,,
"path","Rondo Czyżyńskie","Centralna","5","1,14,22","50.073450616902896, 20.01745462417603; 50.0721801660743, 20.016767978668216; 50.07106117743937, 20.016129612922672; 50.07061701778852, 20.01567363739014; 50.070255489454446, 20.015088915824894; 50.06960473158503, 20.013291835784916; 50.06931205982325, 20.01247644424439"
"stop","Centralna","50.06931205982325, 20.012481808662418",,,
"path","Centralna","Rondo 308","5","1,14,22","50.069315503030836, 20.012487173080448; 50.06868194867419, 20.01020729541779; 50.06771094151507, 20.0069135427475; 50.06754566174288, 20.006371736526493; 50.06739071143917, 20.00536322593689"
"stop","Rondo 308","50.067383824747395, 20.00536859035492",,,
"path","Rondo 308","M1","5","1,14,22","50.06740104147499, 20.00536859035492; 50.0673046277208, 20.004858970642093; 50.06717033681163, 20.00447273254395; 50.066922414145296, 20.003995299339298; 50.06683977297174, 20.00373244285584; 50.066257837342974, 20.00073373317719; 50.065586364382476, 19.996876716613773"
"stop","M1","50.06558292090717, 19.996892809867862",,,
"path","M1","Tauron Arena Kraków","5","1,14,22","50.06558292090717, 19.996865987777714; 50.064308818076526, 19.989543557167057"
"stop","Tauron Arena Kraków","50.064291600238946, 19.989516735076908",,,
"path","Tauron Arena Kraków","Plaza","5","1,14,22","50.06429848737473, 19.98950064182282; 50.06372340813163, 19.986067414283756; 50.06350990390315, 19.98512864112854; 50.06324818774606, 19.984393715858463; 50.06303123774396, 19.9839484691619"
"stop","Plaza","50.06302779408522, 19.98394846916199",,,
"path","Plaza","Jdąbie","5","1,14,22","50.0630518996912, 19.98395919799805; 50.06110963775004, 19.979914426803592"
"junction","Jdąbie","50.06110963775004, 19.979914426803592",,,
"path","Jdąbie","Ldąbie","5","7","50.06111308154649, 19.97995734214783; 50.06162964821238, 19.979721307754517"
"loop","Ldąbie","50.06162964821238, 19.979721307754517",,,
"path","Jdąbie","Dąbie","5","1,7,14,22","50.06109930635925, 19.979925155639652; 50.060734262456286, 19.979147315025333"
"stop","Dąbie","50.060723930984636, 19.979152679443363",,,
"path","Dąbie","Ofiar Dąbia","5","1,7,14,22","50.060723930984636, 19.979163408279422; 50.05989396216115, 19.977419972419742; 50.059735543243434, 19.976899623870853; 50.05962189456718, 19.97626662254334"
"stop","Ofiar Dąbia","50.05961156285597, 19.97626125812531",,,
"path","Ofiar Dąbia","Fabryczna","5","1,7,14,22","50.059628782373395, 19.97626662254334; 50.059511689533075, 19.975445866584778; 50.059511689533075, 19.975156188011173; 50.059577123802605, 19.974372982978824; 50.059807864988144, 19.97324109077454; 50.06035888422532, 19.970682263374332"
"stop","Fabryczna","50.06035888422532, 19.970682263374332",,,
"path","Fabryczna","Francesco Nullo","5","1,7,14,22","50.06033477726608, 19.97074127197266; 50.06048975036411, 19.970038533210754; 50.06053107643904, 19.969555735588077; 50.0605069695663, 19.96897637844086; 50.06044498040943, 19.96845066547394; 50.06010059474589, 19.967093467712406"
"stop","Francesco Nullo","50.060090263137816, 19.967098832130436",,,
